Rank,Name,Platform,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
11142,F1 2016 (Codemasters),XOne,Racing,Codemasters,0.01,0.07,0,0.01,0.09
11169,Lego Star Wars: The Force Awakens,WiiU,Action,Warner Bros. Interactive Entertainment,0.04,0.04,0,0.01,0.09
11244,Ys VIII: Lacrimosa of Dana,PSV,Role-Playing,Nihon Falcom Corporation,0,0,0.09,0,0.09
11426,Toukiden 2,PS4,Action,Tecmo Koei,0,0,0.08,0,0.08
11522,MXGP 2,PS4,Racing,Milestone S.r.l.,0.02,0.05,0,0.01,0.08
11552,BioShock The Collection,XOne,Shooter,Take-Two Interactive,0.03,0.04,0,0.01,0.08
11566,Madden NFL 17,X360,Sports,Electronic Arts,0.06,0.01,0,0.01,0.08
11583,Assassin's Creed Chronicles,PS4,Action,Ubisoft,0.01,0.05,0.01,0.01,0.08
11620,Terraria,3DS,Action,505 Games,0,0.03,0.04,0,0.08
11706,Madden NFL 17,PS3,Sports,Electronic Arts,0.05,0.01,0,0.01,0.08
11744,Mega Man Legacy Collection,PS4,Platform,Capcom,0.06,0,0,0.01,0.07
11805,Resident Evil Zero,XOne,Action,Capcom,0.05,0.02,0,0.01,0.07
11843,Teenage Mutant Ninja Turtles: Mutants in Manhattan,PS4,Action,Activision,0.04,0.02,0,0.01,0.07
11897,Guilty Gear Xrd -Revelator-,PS4,Fighting,PQube,0.02,0,0.05,0,0.07
12007,Battleborn,PC,Shooter,Take-Two Interactive,0.03,0.03,0,0.01,0.07
12014,Guilty Gear Xrd -Revelator-,PS3,Fighting,PQube,0.01,0.02,0.02,0.01,0.07
12135,Resident Evil 6,PS4,Shooter,Capcom,0.05,0,0,0.01,0.07
12236,Lego Star Wars: The Force Awakens,3DS,Action,Warner Bros. Interactive Entertainment,0.02,0.04,0,0,0.07
12390,Song of the Deep,PS4,Action,Insomniac Games,0.05,0,0,0.01,0.06
12404,Valentino Rossi: The Game,PS4,Racing,Namco Bandai Games,0.01,0.05,0,0.01,0.06
12414,Pro Evolution Soccer 2017,PS3,Sports,Konami Digital Entertainment,0,0.01,0.04,0,0.06
12434,Zero Escape: Zero Time Dilemma,3DS,Adventure,Aksys Games,0.04,0,0.01,0.01,0.06
12452,Zero Escape: Zero Time Dilemma,PSV,Adventure,Aksys Games,0.03,0,0.02,0.01,0.06
12490,Odin Sphere: Leifthrasir,PS3,Role-Playing,Nippon Ichi Software,0.01,0.02,0.03,0.01,0.06
12525,Destiny: The Collection,PS4,Shooter,Activision,0.01,0.04,0,0.01,0.06
12565,Attack on Titan (KOEI),PS3,Action,Tecmo Koei,0,0,0.06,0,0.06
12581,TrackMania Turbo,XOne,Action,Ubisoft,0.02,0.03,0,0,0.06
12593,Summon Night 6: Lost Borders,PSV,Action,Namco Bandai Games,0,0,0.06,0,0.06
12618,Ansatsu Kyoushitsu: Assassin Ikusei Keikaku!!,3DS,Action,Namco Bandai Games,0,0,0.06,0,0.06
12633,Super Robot Wars OG: The Moon Dwellers,PS3,Misc,Namco Bandai Games,0,0,0.06,0,0.06
12646,Project Setsuna,PS4,Role-Playing,Square Enix,0,0,0.06,0,0.06
12685,Sumikko Gurashi: Mura o Tsukurundesu,3DS,Misc,Nippon Columbia,0,0,0.06,0,0.06
12837,Kamen Rider: Battride War Genesis,PS4,Action,Namco Bandai Games,0,0,0.05,0,0.05
12871,NBA 2K17,X360,Sports,Take-Two Interactive,0.04,0,0,0.01,0.05
12901,Dark Souls III,PC,Role-Playing,Namco Bandai Games,0,0.05,0,0,0.05
12915,Uta no Prince-Sama: Music 3,PSV,Action,Broccoli,0,0,0.05,0,0.05
12927,ZombiU,PS4,Action,Ubisoft,0,0.04,0.01,0.01,0.05
12932,Teenage Mutant Ninja Turtles: Mutants in Manhattan,PS3,Action,Activision,0.01,0.03,0,0.01,0.05
12934,Utawarerumono: Futari no Hakuoro,PSV,Misc,Aqua Plus,0,0,0.05,0,0.05
12940,FIFA 17,PC,Sports,Electronic Arts,0,0.05,0,0,0.05
12956,Culdcept Revolt,3DS,Strategy,Nintendo,0,0,0.05,0,0.05
12989,Dead or Alive Xtreme 3: Fortune,PS4,Sports,Tecmo Koei,0,0,0.05,0,0.05
13022,Project Setsuna,PSV,Role-Playing,Square Enix,0,0,0.05,0,0.05
13031,Assetto Corsa,PS4,Racing,505 Games,0,0.04,0,0.01,0.05
13046,Street Fighter V,PC,Fighting,Capcom,0,0.05,0,0,0.05
13082,Caligula,PSV,Role-Playing,FuRyu,0,0,0.05,0,0.05
13097,The Technomancer,PS4,Role-Playing,Focus Home Interactive,0.01,0.03,0,0.01,0.05
13102,Mirror's Edge Catalyst,PC,Platform,Electronic Arts,0.01,0.03,0,0.01,0.05
13172,Pro Cycling Manager 2016,PS4,Sports,Focus Home Interactive,0,0.04,0,0.01,0.05
13176,MXGP 2,XOne,Racing,Milestone S.r.l.,0.02,0.02,0,0,0.05
13234,NBA 2K17,PS3,Sports,Take-Two Interactive,0.03,0.01,0,0.01,0.05
13269,Kamen Rider: Battride War Genesis,PSV,Action,Namco Bandai Games,0,0,0.05,0,0.05
13437,Mighty No. 9,PS4,Platform,Deep Silver,0.04,0,0,0.01,0.05
13438,Plants vs. Zombies: Garden Warfare 2,PC,Shooter,Electronic Arts,0,0.04,0,0,0.05
13489,Nobunaga's Ambition: Sphere of Influence - Sengoku Risshiden,PS4,Misc,Tecmo Koei,0,0,0.04,0,0.04
13492,Dead Island Definitive Collection,XOne,Action,Deep Silver,0.02,0.02,0,0,0.04
13494,Rugby Challenge 3,PS3,Sports,Alternative Software,0,0.04,0,0.01,0.04
13510,Sébastien Loeb Rally Evo,PS4,Racing,Milestone S.r.l,0,0.04,0,0.01,0.04
13531,R.B.I. Baseball 2016,XOne,Sports,MLB.com,0.04,0,0,0,0.04
13564,Life is Strange,PC,Adventure,Square Enix,0.01,0.03,0,0,0.04
13598,Card Fight!! Vanguard G: Stride to Victory!!,3DS,Misc,FuRyu,0,0,0.04,0,0.04
13604,Refrain no Chika Meikyuu to Majo no Ryodan,PSV,Action,Nippon Ichi Software,0,0,0.04,0,0.04
13616,Utawarerumono: Futari no Hakuoro,PS4,Misc,Aqua Plus,0,0,0.04,0,0.04
13622,Kamen Rider: Battride War Genesis,PS3,Action,Namco Bandai Games,0,0,0.04,0,0.04
13649,Hitman (2016),PS4,Action,Square Enix,0,0.04,0,0.01,0.04
13652,7 Days to Die,XOne,Action,Telltale Games,0.02,0.02,0,0,0.04
13704,XCOM 2,PS4,Strategy,Take-Two Interactive,0.01,0.02,0,0.01,0.04
13765,One Piece: Burning Blood,XOne,Fighting,Namco Bandai Games,0.03,0.01,0,0,0.04
13791,Star Ocean 5: Integrity and Faithlessness,PS3,Role-Playing,Square Enix,0,0,0.04,0,0.04
13847,Haikyu!! Cross Team Match!,3DS,Adventure,Namco Bandai Games,0,0,0.04,0,0.04
13870,Nobunaga's Ambition: Sphere of Influence - Sengoku Risshiden,PSV,Misc,Tecmo Koei,0,0,0.04,0,0.04
